Keyword,Registrations,Recharges,Total Revenue ($),CVR (%),Avg Revenue ($)
surfercloud,1253,307,40078.91,24.5,131.0
sitelink1,606,14,391.4,2.3,28.0
云 服务器,311,31,2545.8599999999997,10.0,82.0
雲服務器,281,39,5040.76,13.9,129.0
云电脑,253,28,4313.66,11.1,154.0
vps hosting,236,46,762.0,19.5,17.0
cloud server,213,63,2042.2200000000003,29.6,32.0
surfer cloud,202,55,1590.26,27.2,29.0
full version deepseek,160,0,0.0,0.0,0.0
digitalocean,140,15,59.4,10.7,4.0
便宜 vps,133,22,774.19,16.5,35.0
servers,117,12,481.2,10.3,40.0
hosted,116,20,94.69999999999999,17.2,5.0
vultr,115,17,111.5,14.8,7.0
雲伺服器,110,18,8049.4,16.4,447.0
香港雲主機,102,16,1716.1299999999999,15.7,107.0
deepseek api,101,0,0.0,0.0,0.0
云 桌面,97,21,776.83,21.6,37.0
vpsserver,96,9,78.2,9.4,9.0
美國vps,93,20,1366.27,21.5,68.0
輕量雲服務器,92,15,6093.82,16.3,406.0
雲主機,80,10,409.28,12.5,41.0
云 主机,73,7,1837.95,9.6,263.0
vps windows,73,5,362.8,6.8,73.0
服務器海外,67,10,2424.46,14.9,242.0
hostinger,61,4,60.699999999999996,6.6,15.0
deepseek vllm,61,0,0.0,0.0,0.0
vps 服务商,60,7,889.12,11.7,127.0
vps 服务器 推荐,59,8,146.5,13.6,18.0
香港服务器,59,8,1245.04,13.6,156.0
vps 服务器,56,9,289.1,16.1,32.0
國外服務器,54,11,1481.72,20.4,135.0
linode,53,5,26.9,9.4,5.0
amazon web services,52,4,40.8,7.7,10.0
台湾 vps,51,1,30.0,2.0,30.0
vps 推荐,50,2,4.9,4.0,2.0
cloud hosting,50,5,83.6,10.0,17.0
deepseek v3 deployment,49,0,0.0,0.0,0.0
cloud vps,49,4,74.1,8.2,19.0
泰国 vps,48,5,176.21,10.4,35.0
服务器 租用,48,5,50.5,10.4,10.0
contabo,47,9,50.050000000000004,19.1,6.0
香港服務器,47,4,102.9,8.5,26.0
surfercloud vps,46,10,178.6,21.7,18.0
cloud computing,45,3,13.55,6.7,5.0
kamatera,44,8,78.4,18.2,10.0
web3 web hosting,44,0,0.0,0.0,0.0
香港 vps,43,6,2742.15,14.0,457.0
upcloud,41,5,58.01,12.2,12.0
decentralised hosting,41,0,0.0,0.0,0.0
lowendtalk,40,4,29.8,10.0,7.0
servidor hosting,40,8,336.6,20.0,42.0
vps 主机,39,9,128.17,23.1,14.0
云主机,38,8,157.57,21.1,20.0
virtual private servers,38,4,216.41,10.5,54.0
dedicated server cheap,37,0,0.0,0.0,0.0
aws server alternatives,36,0,0.0,0.0,0.0
香港伺服器,36,2,123.03,5.6,62.0
cloud server platform,36,3,781.0,8.3,260.0
雲伺服器推薦,35,4,149.7,11.4,37.0
aws netlify alternative,35,0,0.0,0.0,0.0
surfercloud login,35,1,11.7,2.9,12.0
台湾 服务器,34,5,277.7,14.7,56.0
服务器 购买,34,3,93.30000000000001,8.8,31.0
texting service,33,0,0.0,0.0,0.0
free rdp vps,33,0,0.0,0.0,0.0
vps server hosting,33,3,119.7,9.1,40.0
deepseek r1 model,33,0,0.0,0.0,0.0
香港 云 服务器,33,1,4.8,3.0,5.0
香港 主機,32,5,2685.0,15.6,537.0
blackfriday,31,1,5.0,3.2,5.0
雲 電腦,31,3,45.74,9.7,15.0
云 平台,30,2,528.36,6.7,264.0
ionos,30,5,32.0,16.7,6.0
ovh,30,4,16.7,13.3,4.0
web3 hosting provider,30,0,0.0,0.0,0.0
雲服務器香港,30,4,92.0,13.3,23.0
云 服务,30,2,381.06,6.7,191.0
dedicated hosting,29,1,5.0,3.4,5.0
台湾 vps 服务器,29,5,417.9,17.2,84.0
海外服務器租用,29,2,44.9,6.9,22.0
rdp free,28,0,0.0,0.0,0.0
free rdp,28,0,0.0,0.0,0.0
deepseek deployment,28,0,0.0,0.0,0.0
轻 量 云 服务器,28,6,79.1,21.4,13.0
海外雲服務器,27,5,243.89999999999998,18.5,49.0
海外 服务器,27,2,23.799999999999997,7.4,12.0
alibaba cloud,27,2,5.8,7.4,3.0
openai api,27,1,10.0,3.7,10.0
海外 主机,27,6,287.34000000000003,22.2,48.0
海外服務器,27,7,90.2,25.9,13.0
海外伺服器,27,6,92.8,22.2,15.0
racknerd,27,3,14.7,11.1,5.0
轻 量 应用 服务器,26,4,126.50000000000001,15.4,32.0
vps 黑色 星期五,25,3,73.8,12.0,25.0
cloud computing services,25,2,25.9,8.0,13.0
deepseek r1 128k context,25,0,0.0,0.0,0.0
website hosting,24,3,11.399999999999999,12.5,4.0
deepseek installation,24,0,0.0,0.0,0.0
臺灣主機,24,2,68.9,8.3,34.0
sms sms,24,0,0.0,0.0,0.0
远程 电脑 出租,24,6,129.94,25.0,22.0
服务器 租赁,23,4,363.45,17.4,91.0
nube cloud,23,0,0.0,0.0,0.0
deepseek api key,23,0,0.0,0.0,0.0
冲浪云,23,2,11.9,8.7,6.0
hourly vps,23,3,135.0,13.0,45.0
香港主機,22,2,22.1,9.1,11.0
雲端 電腦,22,3,117.9,13.6,39.0
azure cloud,22,2,6.9,9.1,3.0
海外云电脑,22,5,70.87,22.7,14.0
usdt 购买 服务器,22,7,290.8,31.8,42.0
vpn 服务器 推荐,22,2,328.9,9.1,164.0
香港 云 电脑,21,1,20.9,4.8,21.0
sitelink05,21,5,31.6,23.8,6.0
vps 虚拟服务器,21,3,20.700000000000003,14.3,7.0
cloud pc,21,0,0.0,0.0,0.0
香港 云,21,1,62.9,4.8,63.0
月 付 vps,21,4,589.1,19.0,147.0
日本vps,21,4,29.6,19.0,7.0
