Month,Registered,Recharged,Conversion Rate (%)
2023-08,1,1,100.0
2023-09,1,0,0.0
2023-10,2,1,50.0
2023-11,1,0,0.0
2024-01,10,2,20.0
2024-02,74,12,16.2
2024-03,213,16,7.5
2024-04,232,12,5.2
2024-05,977,306,31.3
2024-06,690,80,11.6
2024-07,1470,82,5.6
2024-08,5264,524,10.0
2024-09,15248,922,6.0
2024-10,7314,925,12.6
2024-11,8676,1347,15.5
2024-12,8969,1308,14.6
2025-01,8238,830,10.1
2025-02,6531,856,13.1
2025-03,9649,889,9.2
2025-04,3479,583,16.8
2025-05,3308,955,28.9
2025-06,4361,687,15.8
2025-07,4555,442,9.7
2025-08,2606,183,7.0
2025-09,2784,338,12.1
2025-10,3163,372,11.8
2025-11,3648,432,11.8
2025-12,4139,538,13.0
2026-01,3665,510,13.9
2026-02,3288,494,15.0
2026-03,3779,638,16.9
2026-04,2496,400,16.0
