Plan,Registrations,Recharges,Total Revenue ($),CVR (%),Avg Revenue ($)
D23,13682,1206,57979.57,8.8,48.1
A16,4283,580,84353.98,13.5,145.4
D24,3367,274,34377.83,8.1,125.5
D15,2429,30,149.82,1.2,5.0
D07,2218,60,1492.27,2.7,24.9
D60,2134,443,3398.16,20.8,7.7
A20,1578,376,41887.270000000004,23.8,111.4
D06,1571,293,3503.25,18.7,12.0
D31,1419,33,436.01,2.3,13.2
C01,1363,184,10487.25,13.5,57.0
D35,1340,0,0.0,0.0,0.0
D17,1253,93,1213.32,7.4,13.0
D38,1245,2,6.9,0.2,3.4
D32,1092,0,0.0,0.0,0.0
D16,1073,73,237.2,6.8,3.2
A01,819,73,1343.3999999999999,8.9,18.4
D34,796,0,0.0,0.0,0.0
D25,713,3,113.03999999999999,0.4,37.7
D70,468,0,0.0,0.0,0.0
D19,458,24,377.7,5.2,15.7
D51,442,12,103.0,2.7,8.6
A44,414,1,10.0,0.2,10.0
D50,343,8,107.4,2.3,13.4
A33,318,1,10.0,0.3,10.0
A94,292,3,136.0,1.0,45.3
D33,274,0,0.0,0.0,0.0
D08,241,1,1.0,0.4,1.0
A24,209,40,1270.4,19.1,31.8
A22,208,30,1896.84,14.4,63.2
D84,207,48,493.4,23.2,10.3
A95,194,5,344.7,2.6,68.9
D41,191,2,78.0,1.0,39.0
A93,177,1,7.9,0.6,7.9
S1,175,1,10.0,0.6,10.0
S2,169,15,554.77,8.9,37.0
D40,158,0,0.0,0.0,0.0
B10,146,20,3088.21,13.7,154.4
D231,120,0,0.0,0.0,0.0
D27,113,5,267.49,4.4,53.5
D23en,110,9,215.75,8.2,24.0
D37,109,11,270.3,10.1,24.6
D28,109,4,98.85,3.7,24.7
A34,107,0,0.0,0.0,0.0
A61,100,5,149.01,5.0,29.8
D39,100,2,6.5,2.0,3.2
B25,98,2,13.9,2.0,7.0
A25,94,4,28.4,4.3,7.1
A02,92,9,175.25,9.8,19.5
T1-10.9,91,3,46.1,3.3,15.4
A98,83,10,75.65,12.0,7.6
A49,81,8,650.2,9.9,81.3
D63,79,0,0.0,0.0,0.0
B17,75,12,98.9,16.0,8.2
C02,71,9,424.4,12.7,47.2
C13,69,1,23.5,1.4,23.5
A26,69,0,0.0,0.0,0.0
D71,66,1,40.0,1.5,40.0
A31,63,4,78.8,6.3,19.7
A97,62,1,18.1,1.6,18.1
D17HK,58,0,0.0,0.0,0.0
D43,55,1,410.0,1.8,410.0
T1,55,3,40.699999999999996,5.5,13.6
D82,51,4,41.3,7.8,10.3
A46,50,10,102.3,20.0,10.2
A18,49,0,0.0,0.0,0.0
T3-18.9,48,3,51.4,6.2,17.1
A30,46,3,29.699999999999996,6.5,9.9
D42,46,0,0.0,0.0,0.0
D83,46,3,15.8,6.5,5.3
A37,45,5,301.7,11.1,60.3
B19,42,10,93.1,23.8,9.3
forum,40,4,29.8,10.0,7.4
T3-6.9,32,0,0.0,0.0,0.0
A32,32,4,25.3,12.5,6.3
S3,31,2,25.990000000000002,6.5,13.0
B13,31,3,48.699999999999996,9.7,16.2
B24,27,10,119.55,37.0,12.0
E01,26,0,0.0,0.0,0.0
G01,25,2,16.0,8.0,8.0
A23,25,0,0.0,0.0,0.0
A05,24,3,135.4,12.5,45.1
B18,24,4,34.7,16.7,8.7
T2-54,23,0,0.0,0.0,0.0
C51,19,0,0.0,0.0,0.0
A38,19,1,1.0,5.3,1.0
A21,19,1,2.9,5.3,2.9
R08,18,0,0.0,0.0,0.0
D14,17,1,1.0,5.9,1.0
D24-Special,15,0,0.0,0.0,0.0
S7,14,1,4.99,7.1,5.0
