Plan,Keyword,Registrations,Recharges,Total Revenue ($),CVR (%)
A16,云 服务器,280,31,2545.8599999999997,11.1
A16,雲服務器,277,38,5021.26,13.7
A16,云电脑,251,28,4313.66,11.2
A16,雲伺服器,108,17,8043.099999999999,15.7
A16,云 桌面,97,21,776.83,21.6
A16,美國vps,91,19,1349.37,20.9
A16,輕量雲服務器,91,15,6093.82,16.5
A16,雲主機,78,10,409.28,12.8
A16,香港雲主機,73,14,1619.43,19.2
A16,云 主机,71,7,1837.95,9.9
A16,服務器海外,67,10,2424.46,14.9
A16,vps 服务商,60,7,889.12,11.7
A16,vps 服务器 推荐,59,8,146.5,13.6
A16,香港服务器,57,8,1245.04,14.0
A16,國外服務器,54,11,1481.72,20.4
A16,vps 服务器,53,9,289.1,17.0
A16,台湾 vps,51,1,30.0,2.0
A16,vps 推荐,49,2,4.9,4.1
A16,服务器 租用,48,5,50.5,10.4
A16,泰国 vps,48,5,176.21,10.4
A16,香港服務器,47,4,102.9,8.5
A16,香港 vps,43,6,2742.15,14.0
A16,vps 主机,39,9,128.17,23.1
A16,云主机,38,8,157.57,21.1
A16,雲伺服器推薦,35,4,149.7,11.4
A16,服务器 购买,34,3,93.30000000000001,8.8
A16,台湾 服务器,33,5,277.7,15.2
A16,雲 電腦,31,3,45.74,9.7
A16,香港 云 服务器,31,1,4.8,3.2
A16,云 平台,30,2,528.36,6.7
A16,雲服務器香港,30,4,92.0,13.3
A16,云 服务,29,2,381.06,6.9
A16,台湾 vps 服务器,29,5,417.9,17.2
A16,海外服務器租用,29,2,44.9,6.9
A16,轻 量 云 服务器,28,6,79.1,21.4
A16,海外 主机,27,6,287.34000000000003,22.2
A16,海外伺服器,27,6,92.8,22.2
A16,海外服務器,27,7,90.2,25.9
A16,海外雲服務器,27,5,243.89999999999998,18.5
A16,香港伺服器,26,1,90.03,3.8
A16,远程 电脑 出租,24,6,129.94,25.0
A16,服务器 租赁,23,4,363.45,17.4
A16,cloud server,22,3,1231.73,13.6
A16,vpn 服务器 推荐,22,2,328.9,9.1
A16,海外云电脑,22,5,70.87,22.7
A16,雲端 電腦,22,3,117.9,13.6
A16,香港主機,22,2,22.1,9.1
A16,cloud pc,21,0,0.0,0.0
A16,vps 虚拟服务器,21,3,20.700000000000003,14.3
A16,日本vps,21,4,29.6,19.0
A16,海外 服务器,21,2,23.799999999999997,9.5
A16,香港 云 电脑,21,1,20.9,4.8
A16,vps 购买,20,2,26.299999999999997,10.0
A16,台湾 云 服务器,20,2,502.29999999999995,10.0
A16,vpn 节点 购买,19,0,0.0,0.0
A16,云端 电脑,19,0,0.0,0.0
A16,便宜 的 vps,19,2,104.1,10.5
A16,日本 云 服务器,19,1,240.0,5.3
A16,香港 服务器 推荐,19,4,346.7,21.1
A16,香港 vps 推荐,18,4,263.38,22.2
A16,香港雲伺服器,18,2,154.57,11.1
A16,vps 服务器 购买,17,1,14.4,5.9
A16,新加坡 服务器,17,3,70.62,17.6
A16,虚拟 主机,17,1,1.0,5.9
A16,香港虛擬主機,17,4,1426.81,23.5
A16,服务器,16,3,298.29999999999995,18.8
A16,泰国 服务器,16,3,236.9,18.8
A16,香港 服务器 租用,16,1,3.9,6.2
A16,云 电脑,15,3,54.75,20.0
A16,台灣 vps,15,2,25.799999999999997,13.3
A16,国外 云 电脑,15,3,60.699999999999996,20.0
A16,泰國服務器,15,5,298.55,33.3
A16,香港 云,15,1,62.9,6.7
A16,usdt 服务器,14,3,63.73,21.4
A16,vps taiwan,14,0,0.0,0.0
A16,新加坡服務器,14,2,1666.19,14.3
A16,泰國伺服器,14,3,131.35000000000002,21.4
A16,租用 服务器,14,1,6.9,7.1
A16,輕量應用服務器,14,1,2.9,7.1
A16,免 实名 服务器,13,3,147.60000000000002,23.1
A16,雲服務器推薦,13,3,38.9,23.1
A16,hk vps,12,4,348.52000000000004,33.3
A16,vpn server,12,0,0.0,0.0
A16,windows 云 电脑,12,0,0.0,0.0
A16,云 电脑 推荐,12,1,20.9,8.3
A16,自 建 vpn 服务器,12,0,0.0,0.0
A16,香港 主机,12,0,0.0,0.0
A16,vpn 服务器 搭建,11,0,0.0,0.0
A16,印度 vps,11,1,7.9,9.1
A16,台灣 虛擬 主機,11,1,30.0,9.1
A16,国外 云 服务器 推荐,11,3,1809.8,27.3
A16,海外 服务器 推荐,11,2,32.9,18.2
